@relation Example1 
@attribute PosX numeric 
@attribute PosY numeric 
@attribute isNorthLegal {True, False} 
@attribute isEastLegal {True, False} 
@attribute isSouthLegal {True, False} 
@attribute isWestLegal {True, False} 
@attribute Direction {Stop, North, South, East, West} 
@attribute Ghost1X numeric 
@attribute Ghost1Y numeric 
@attribute Ghost1Distance numeric 
@attribute Ghost2X numeric 
@attribute Ghost2Y numeric 
@attribute Ghost2Distance numeric 
@attribute Ghost3X numeric 
@attribute Ghost3Y numeric 
@attribute Ghost3Distance numeric 
@attribute Ghost4X numeric 
@attribute Ghost4Y numeric 
@attribute Ghost4Distance numeric  
@attribute NumberOfDots numeric 
@attribute NearestDotDistance numeric 
@attribute CurrentScore numeric 
@attribute FutureScore numeric 
@attribute FutureDirection {Stop, North, South, East, West} 
@data 
11,5,True,False,True,True,North,1,1,?,3,1,?,17,6,7,25,7,16,0,?,364,363,North
11,6,True,False,True,True,North,1,1,?,3,1,?,17,6,6,25,7,15,0,?,363,362,North
11,7,True,False,True,True,North,1,1,?,3,1,?,17,6,7,25,7,14,0,?,362,361,North
11,8,True,False,True,True,North,1,1,?,3,1,?,17,6,8,25,7,15,0,?,361,360,North
11,9,True,False,True,True,North,1,1,?,3,1,?,17,6,9,25,7,16,0,?,360,359,North
11,10,True,False,True,True,North,1,1,?,3,1,?,17,6,10,25,7,17,0,?,359,358,North
11,11,True,False,True,True,North,1,1,?,3,1,?,17,6,11,25,7,18,0,?,358,357,North
11,12,False,True,True,True,North,1,1,?,3,1,?,17,6,12,25,7,19,0,?,357,356,East
12,12,False,True,False,True,East,1,1,?,3,1,?,17,6,11,25,7,18,0,?,356,355,East
13,12,False,True,True,True,East,1,1,?,3,1,?,17,6,10,25,7,17,0,?,355,354,South
13,11,True,True,True,False,South,1,1,?,3,1,?,17,6,9,25,7,16,0,?,354,353,South
13,10,True,True,True,False,South,1,1,?,3,1,?,17,6,8,25,7,15,0,?,353,352,South
13,9,True,True,True,False,South,1,1,?,3,1,?,17,6,7,25,7,14,0,?,352,351,South
13,8,True,True,True,False,South,1,1,?,3,1,?,17,6,6,25,7,13,0,?,351,350,South
